价格,平均在线玩家数
"2,392",329333.0
229,189179.0
98,97929.0
733,88735.0
251,79528.0
401,73203.0
94,70123.0
Demo Middle-earth™: Shadow of War™,67943.0
442,57421.0
271,56185.0
461,47951.0
"Note: Your saved progress will transfer to the full game, if purchased.",47409.0
308,46445.0
290,45770.0
190,44302.0
256,39676.0
Shadow of the Tomb Raider Free Trial,37979.0
268,37284.0
FINAL FANTASY XV WINDOWS EDITION PLAYABLE DEMO,29279.0
192,27259.0
148,24152.0
140,24039.0
274,23813.0
141,22639.0
282,21151.0
127,20427.0
208,19155.0
免费开玩！,18920.0
82,18797.0
210,18211.0
129,18173.0
182,18080.0
SpeedRunners Party Mode,17131.0
199,15689.0
248,14948.0
158,14630.0
932,13807.0
99,13544.0
109,13369.0
831,12671.0
120,12562.0
178,12386.0
95,12222.0
The Crew Trial,12180.0
64,12170.0
209,11907.0
185,11571.0
181,10688.0
328,10277.0
222,9699.0
314,9690.0
206,9586.0
167,9528.0
529,9464.0
ROTii Demo,8972.0
298,8429.0
318,8362.0
Planets Under Attack Demo,8186.0
118,8017.0
116,7555.0
128,7384.0
270,7328.0
305,6726.0
免费游玩,6701.0
Soundpad Demo,6604.0
for Buddy Pass Users Only,6582.0
169,6466.0
218,6390.0
115,6366.0
249,6242.0
139,5993.0
126,5965.0
UNO,5639.0
191,5472.0
101,5450.0
402,5436.0
217,5317.0
108,5267.0
134,5205.0
77,5042.0
163,4939.0
198,4890.0
39,4885.0
LudoNarraCon demo,4718.0
200,4599.0
122,4590.0
133,4510.0
Car Mechanic Simulator 2015 Demo,4326.0
Install Now,4226.0
224,4089.0
Towns Demo,3995.0
19,3928.0
138,3856.0
97,3712.0
281,3659.0
180,3640.0
71,3638.0
8,3586.0
258,3424.0
349,3396.0
27,3371.0
CrossCode Demo,3368.0
88,3355.0
DRAGON QUEST BUILDERS 2 JUMBO DEMO,3305.0
591,3286.0
112,3279.0
266,3234.0
110,3221.0
24,3199.0
63,3118.0
390,2996.0
68,2969.0
79,2874.0
33,2697.0
90,2666.0
Play Demo for Free,2644.0
Jumps Demo,2582.0
159,2562.0
220,2536.0
78,2464.0
168,2418.0
165,2411.0
125,2316.0
74,2296.0
Download demo,2077.0
Free to Play,2066.0
219,2037.0
58,2031.0
294,2020.0
162,1981.0
75,1919.0
278,1838.0
202,1820.0
48,1809.0
250,1808.0
269,1792.0
Try the complete version of the game for 8 hours,1774.0
103,1669.0
119,1660.0
174,1633.0
Cat Quest Demo,1622.0
Horizon Shift Demo,1577.0
Pixel Survivors Demo,1562.0
149,1530.0
135,1499.0
Free demo,1469.0
59,1439.0
55,1326.0
3,1312.0
188,1292.0
166,1276.0
228,1258.0
免费开玩,1252.0
80,1221.0
204,1198.0
69,1185.0
276,1178.0
183,1169.0
Realpolitiks Demo,1146.0
Bad North Demo,1136.0
83,1133.0
Arcane Raise - Aurora Novus,1124.0
66,1114.0
56,1100.0
100,1065.0
50,1012.0
310,1000.0
Zigfrak Demo,957.0
Try Demo Now!,938.0
Play demo for free,896.0
113,894.0
173,879.0
37,872.0
Play WARMACHINE: Tactics Demo,871.0
142,852.0
Odd||Even demo,833.0
FootRock 2 Demo,821.0
29,816.0
300,804.0
Free To Play,802.0
Clockwise Demo (v 1.5),787.0
70,761.0
5,750.0
86,747.0
289,742.0
Little Misfortune Demo,736.0
Try Demo,721.0
Unholy Heights Trial Version,706.0
84,683.0
ONINAKI Free Trial,681.0
23,680.0
49,661.0
34,629.0
Cat Quest II Demo,610.0
89,604.0
36,604.0
28,603.0
"1,079",596.0
6,573.0
4,560.0
203,559.0
21,530.0
Demo version,505.0
A Bastard's Tale Demo,494.0
412,489.0
Play Demo!,485.0
试玩版,485.0
111,483.0
Install Demo,482.0
16,449.0
第三方,442.0
72,438.0
179,435.0
38,429.0
259,425.0
"3,132",414.0
299,412.0
Coffee Talk Demo,403.0
114,392.0
65,385.0
15,374.0
339,374.0
Play Until Level 10 For Free,370.0
42,365.0
12,361.0
25,356.0
22,356.0
Silence Demo,351.0
Install Free Demo,347.0
Try the free demo:,347.0
92,344.0
Salt Demo,342.0
40,339.0
381,326.0
Learn to Play Edition,322.0
11,320.0
47,319.0
Demo-version,314.0
143,311.0
211,309.0
132,308.0
30,308.0
eden* Demo,299.0
380,298.0
Home Sweet Home Demo,298.0
The Norwood Suite Demo,295.0
170,294.0
Demo,286.0
Try it now!,284.0
Great Permutator Demo,284.0
62,283.0
免费,280.0
Play the Demo,279.0
117,278.0
18,269.0
214,268.0
338,265.0
Try to survive the 5 first days on the island!,264.0
35,262.0
51,259.0
60,257.0
54,252.0
20,251.0
14,239.0
215,239.0
Circuit Breakers Demo,237.0
277,232.0
Sunrider Academy Demo,231.0
44,231.0
121,229.0
Rodina Demo,221.0
31,219.0
288,215.0
32,213.0
13,211.0
Dex Demo,211.0
45,208.0
Cosmic Leap Demo,202.0
The Black Watchmen Demo,195.0
EmergeNYC Demo,193.0
53,186.0
体验版,176.0
Outbreak Single-Player Demo,171.0
9,169.0
279,155.0
26,155.0
322,154.0
221,151.0
Airship Dragoon Demo,146.0
57,143.0
Worbital: Online Demo,142.0
Arcade Spirits Demo,139.0
Try Demo!,136.0
41,132.0
The Last Dream: Developer's Edition Demo,131.0
Penarium Demo,126.0
RPG Tycoon Demo,124.0
52,122.0
Slime-san Demo,113.0
Try the demo!,108.0
136,104.0
347,103.0
43,97.0
470,96.0
Experience Quasar Spectrum OS for Free,93.0
Free Trial,90.0
Try it NOW!,87.0
Panoptic Demo,85.0
7,79.0
96,78.0
10,77.0
Protonwar Demo,72.0
394,67.0
Black Hole Hazard Demo,66.0
Free Demo,66.0
Infinium Strike Demo,62.0
Build and test ships in sandbox. All saved designs transfer to the full version.,61.0
105,61.0
440,56.0
Ian's Eyes Demo,56.0
150,55.0
67,54.0
230,51.0
61,51.0
Just Get Through Demo,50.0
Free,48.0
A Golden Wake - Demo,48.0
UAYEB: The Dry Land - Episode 1 - Demo,45.0
Spaceman Sparkles 3 Demo,45.0
Try the demo,43.0
LABEL,42.0
Download Demo,42.0
New Retro Arcade: Neon (Tech Demo),41.0
AccuRC 2 Limited Demo,41.0
Monochroma Demo,39.0
238,39.0
93,37.0
46,36.0
Winds Of Trade Demo,35.0
679,34.0
The Body Changer DEMO,33.0
The Weaponographist Demo,32.0
Galactic Fighters Demo,32.0
Soulblight Demo,31.0
Airranger Trial Version,31.0
240,31.0
Play demo,30.0
Qubicle Demo,28.0
Gerty Demo,28.0
"Get a full, 14 day trial version",28.0
Dry Drowning Demo,25.0
Dont Knock Twice VR Demo,25.0
Play Rage in Peace Demo,25.0
Playable Demo,24.0
Hello Charlotte EP1,24.0
Partial Control Demo,23.0
17,23.0
Chuusotsu - 1st Graduation: Time After Time English Demo,22.0
242,21.0
🐛  PLAY NOW,20.0
Build 24-10-2019,20.0
Akash: Path of the Five Demo,20.0
免费试玩！,19.0
Gorescript Demo,19.0
Heroes of Legionwood Demo,18.0
Fartnight! Play the full game for free as long as you want but with fart sounds!,18.0
灰烬天国 UnconqueredCastle,18.0
Garrison: Archangel Free Demo,18.0
INFERNIUM Free Demo,18.0
SoulHunt Demo,17.0
YumeUtsutsu Re:Master demo,17.0
525,17.0
I was rebuilt - Demo,16.0
SoulSet Demo,16.0
87,16.0
Hunter's Legacy Demo,15.0
Give it a swing!,15.0
A Case of Distrust Demo,14.0
175,14.0
Sym Demo,13.0
The Apartment Demo,13.0
Space Ribbon Demo,13.0
194,12.0
Zapitalism - Free Demo,12.0
DEMO,12.0
Empires in Ruins Demo,12.0
Space Battlecruiser Demo,12.0
130,12.0
Gaia's Melody: Echoed Melodies Demo,11.0
Sky Racket Demo,11.0
FREE EDITION,10.0
372,10.0
Try the free demo!,10.0
"2,000",9.0
Patterna Demo,9.0
524,9.0
MilitAnt Demo,8.0
513,8.0
450,8.0
Free to Try,8.0
Play with Firefly for a little while!,8.0
Free DEMO!,7.0
Asteroid Blaster VR Demo,7.0
TRY THE FREE DEMO!,7.0
INTERSTELLAR PRIME Pre-Alpha 0.1 Game Engine Demo,7.0
Catyph Demo,7.0
"Put on your Top Hat, twiddle your tache and get the Woolley Mountain Demo now!",7.0
Free Demo ( ͡~ ͜ʖ ͡°),7.0
Play the free Challenge Mode demo!,6.0
Cubotrox Demo,6.0
ViSP Demo,6.0
Chapter I: The Cross-bearing Man,6.0
Try JunkerBot's combat demo,6.0
Fish Duel Free,6.0
3DCoat Modding Tool Demo,6.0
DERU - Demo,6.0
484,6.0
307,6.0
PROLOGUE,6.0
549,5.0
700,5.0
137,5.0
Try the Free Version,5.0
830,5.0
309,5.0
Sticky Paws Demo,5.0
Dyadic Demo,5.0
Escape Legacy VR Demo,5.0
Not convinced enough? Play Deadsiege demo,5.0
Language: Korean(한국어),5.0
Recourse Demo,5.0
Glimpse of Infini,5.0
Hailstorm Demo,5.0
Free Local Version,4.0
The Last Roman Village Demo,4.0
Play the free demo!,4.0
Play the demo!,4.0
Catch the Head Demo,4.0
"Playable demo of Upwards, Lonely Robot",4.0
"dungeon,builder,simulation,construct,build,simulator,TD,地城,地牢,地下城,經營,模擬,建造,2D,indie,獨立,模拟,经营,策略,独立,塔防,管理,開放世界",4.0
Play Demo,4.0
1999,4.0
Orbs Demo,4.0
Kaiju Big Battel Fighto Fantasy Demo,4.0
Ukhar Demo,4.0
"""Better than a demo!"" 2D Paintball - Online | Full F2P Multiplayer!",4.0
RLR Demo,4.0
Four Realms Demo,4.0
640,4.0
Check out a free Demo now!,4.0
Try before you buy!,4.0
VITAL Demo,3.0
Omega Pattern Demo,3.0
Virtual Home Theater Demo,3.0
Play now for free,3.0
7 Days Free Trial,3.0
Locomotion Demo,3.0
350,3.0
REMOTE LIFE TECH Demo,3.0
免费试用版,3.0
Super Hyperactive Ninja Demo,1.0
Nightmare Cave Demo,1.0
Free Demo version!,1.0
Demo Version,1.0
Divide &amp; Conquer Demo,1.0
Hit The Hive DEMO,1.0
Try for free!,1.0
ENZBOTS DEMO,1.0
388,1.0
Handpass VR Demo,1.0
